console,developer,genre,publisher,release,units sold,title,,
,,,,,,,,
,,,,,,,,
NES,Nintendo R&D4,,Nintendo,9/13/85,"40,240,000",Super Mario Bros.,,
NES,Nintendo R&D1,,Nintendo,4/21/84,"28,300,000",Duck Hunt,,
NES,Nintendo R&D4,,Nintendo,10/23/88,"18,000,000",Super Mario Bros. 3,,
NES,Nintendo R&D4,,Nintendo,10/9/88,"10,000,000",Super Mario Bros. 2,,
NES,Nintendo R&D4,,Nintendo,2/21/86,"6,510,000",The Legend of Zelda,,
NES,Nintendo R&D1,,Nintendo,12/22/88,"5,580,000",Tetris,,
NES,Nintendo R&D1,,Nintendo,7/27/90,"4,850,000",Dr. Mario,,
NES,Nintendo R&D4,,Nintendo,1/14/87,"4,380,000",Zelda II: The Adventure of Link,,
NES,Nintendo R&D1,,Nintendo,11/30/84,"4,160,000",Excitebike,,
NES,Nintendo R&D1,,Nintendo,5/1/84,"4,010,000",Golf,,
NES,Konami,,Konami,5/12/89,"4,000,000",Teenage Mutant Ninja Turtles,,
NES,Chunsoft,,Enix,2/10/88,"3,895,000",Dragon Quest III,,
NES,Nintendo R&D1,,Nintendo,10/18/85,"3,500,000",Kung Fu,,
NES,Nintendo R&D1,,Nintendo,12/7/83,"3,200,000",Baseball,,
NES,Chunsoft,,Enix,2/11/90,"3,180,000",Dragon Quest IV,,
NES,TRY Co.,,Nintendo,12/23/86,"3,080,000",World Class Track Meet,,
NES,Nintendo R&D3,,Nintendo,9/18/87,"3,020,000",Punch-Out!!,,
NES,Nintendo R&D1,,Nintendo,8/6/86,"2,730,000",Metroid,,
NES,Nintendo R&D4,,Nintendo,6/3/86,"2,650,000",Super Mario Bros.2,,
NES,Nintendo R&D2,,Nintendo,1/21/88,"2,420,000",Ice Hockey,,
NES,Nintendo R&D3,,Nintendo,10/13/86,"2,400,000",Pro Wrestling,,
NES,Chunsoft,,Enix,1/26/87,"2,400,000",Dragon Quest II,,
NES,Nintendo R&D1,,Nintendo,9/9/83,"2,280,000",Mario Bros.,,
NES,Nintendo R&D1,,Nintendo,1/14/84,"2,170,000",Tennis,,
NES,Nintendo R&D3,,Nintendo,7/21/86,"2,150,000",Volleyball,,
NES,Nintendo R&D1,,Nintendo,8/27/83,"2,140,000",Mahjong,,
NES,Rare,,Nintendo,2/1/88,"2,140,000",R.C. Pro-Am,,
NES,Namco,,Namco,12/10/86,"2,050,000",R.B.I. Baseball,,
NES,Intelligent Systems,,Nintendo,4/9/85,"1,960,000",Soccer,,
NES,Square,,Nintendo,8/7/87,"1,960,000",Rad Racer,,
NES,Nintendo R&D1,,Nintendo,2/2/84,"1,850,000",Pinball,,
NES,Nintendo R&D1,,Nintendo,12/19/86,"1,760,000",Kid Icarus,,
NES,Game Freak,,Nintendo,12/14/91,"1,750,000",Yoshi,,
NES,HAL Laboratory,,Nintendo,3/23/93,"1,750,000",Kirby's Adventure,,
NES,Capcom,,Capcom,9/14/89,"1,670,000",DuckTales,,
NES,Capcom,,Capcom,6/13/86,"1,640,000",Ghosts 'n Goblins,,
NES,Tose,,Jaleco,6/26/87,"1,580,000",Bases Loaded,,
